shot_number,este_utm19s,norte_utm19s,altura_dosel_rh95_m,rh98_m,cover,pai,fhd_normal,pendiente_grados
340730500400257849,289605.5,5271640.0,6.09,7.17,0.18462169,0.40830192,2.0509655,18.94
340730500400257850,289654.4,5271608.9,5.94,6.99,0.20574121,0.46081492,2.0652661,19.62
340730500400257851,289703.3,5271577.8,5.15,6.57,0.13158976,0.28222686,2.1176467,10.93
340730500400257852,289750.9,5271547.4,20.48,23.02,0.7472422,2.7574513,2.9833834,12.03
340730500400257853,289798.9,5271516.9,2.2,2.76,0.021905804,0.04429966,1.5032238,6.43
340730500400257854,289847.1,5271486.3,6.35,8.03,0.2513927,0.5792799,2.1425304,18.27
340730500400257855,289896.1,5271455.2,19.47,21.0,0.9128406,4.9149117,2.6651676,17.88
340730500400257864,290341.5,5271173.0,20.11,21.08,0.8281526,3.5354853,2.9847136,18.23
340730500400257865,290390.2,5271142.2,17.83,19.36,0.93065554,5.3841763,2.7727888,11.79
340730500400257866,290438.5,5271111.5,14.16,15.25,0.8791724,4.249112,2.5732613,11.13
340730500400257867,290485.9,5271081.4,19.29,20.59,0.37887567,0.95302194,2.9744794,19.06
340730500400257869,290579.7,5271021.8,23.47,24.67,0.7705108,2.951917,3.1696727,19.90
340730500400257881,291152.2,5270658.0,17.34,18.43,0.76609814,2.9135528,2.8348334,13.64
340730600400970056,289415.0,5271023.7,26.31,27.32,0.9170306,5.0148344,3.2799973,16.43
340730600400970069,290056.0,5270617.4,2.95,3.7,0.04525943,0.09263582,1.8082895,11.59
340730600400970070,290103.8,5270587.0,8.33,8.89,0.7473071,2.7577977,2.1362555,6.25
340730600400970071,290151.6,5270556.6,11.55,12.3,0.8505599,3.8176756,2.4242792,6.96
340730600400970072,290199.7,5270526.0,13.75,14.46,0.8314269,3.5740266,2.558481,16.99
340730600400970073,290249.4,5270494.6,3.1,3.7,0.044858612,0.091796264,1.268794,17.99
340730600400970075,290345.5,5270433.6,15.21,15.88,0.8803295,4.268096,2.734664,8.44
340730600400970076,290394.3,5270402.7,4.26,4.93,0.18152101,0.4007049,1.7334923,15.33
356600000400197094,299415.1,5284021.5,3.25,3.96,0.01687964,0.034047626,1.4127755,4.34
356600000400197102,299798.7,5283775.2,5.27,6.17,0.2524499,0.5819638,1.8561636,15.16
356600000400197105,299942.8,5283682.8,2.77,3.44,0.0027401135,0.005487753,0.9672406,10.41
356600000400197116,300518.7,5283313.5,2.84,3.44,0.06981573,0.14474836,1.4658569,2.35
356600000400197149,302100.4,5282298.4,3.22,3.85,0.02048207,0.041389734,1.7185832,9.65
356600000400197150,302148.3,5282267.6,8.23,8.79,0.68176967,2.2911534,2.032227,9.40
356600100400192436,296980.1,5284836.1,3.96,4.68,0.09890371,0.20829242,1.7205334,8.34
356600100400192468,298514.5,5283854.7,3.07,3.66,0.02031951,0.041057814,1.1295516,7.67
356600100400192471,298658.4,5283762.5,4.53,5.61,0.11509718,0.24456339,1.9127723,13.89
356600100400192480,299089.4,5283486.2,4.0,4.75,0.064008854,0.13230096,1.8061222,11.32
356600100400192483,299233.4,5283393.5,3.4,4.19,0.009463993,0.019018171,1.5817624,7.90
356600100400192484,299281.3,5283362.7,3.74,4.45,0.09294103,0.19510098,1.7205789,9.55
356600100400192485,299329.3,5283331.9,5.31,6.25,0.21507803,0.4843766,1.8602027,9.96
356600100400192486,299377.3,5283301.0,3.55,4.34,0.023274707,0.047099985,1.6120242,10.57
