sitio,shot,este,norte,rh95,cover,pai,NDVI,EVI,NDMI,NBR
Estepa,356600800400197972,331928.0,5258420.6,3.74,0.05376507,0.11053075,0.1061122789978981,0.05371074751019478,-0.19331678748130798,-0.17916762828826904
Estepa,356600800400197973,331976.1,5258389.8,2.99,0.0071361493,0.014323499,0.12780363857746124,0.06756500899791718,-0.18652640283107758,-0.1672884225845337
Estepa,356600800400197974,332024.0,5258359.2,2.32,0.0033958363,0.0068032374,0.11685211211442947,0.060615234076976776,-0.20978659391403198,-0.18609726428985596
Estepa,356600800400197975,332071.5,5258329.0,4.26,0.11860758,0.25251508,0.13710372149944305,0.06924685090780258,-0.22579629719257355,-0.20773246884346008
Estepa,356600800400197976,332119.2,5258298.6,2.09,0.04082155,0.08335739,0.1424139142036438,0.07361016422510147,-0.22721150517463684,-0.20201367139816284
Estepa,356600800400197977,332167.0,5258268.1,1.94,0.015722895,0.03169578,0.14009077847003937,0.06553907692432404,-0.25013020634651184,-0.22687093913555145
Estepa,356600800400197978,332214.8,5258237.6,2.5,0.010878812,0.021876913,0.1503092646598816,0.07582304626703262,-0.21480223536491394,-0.18825389444828033
Estepa,356600800400197979,332262.6,5258207.0,2.05,0.022945607,0.04642625,0.13233116269111633,0.0686890035867691,-0.2162802815437317,-0.16704398393630981
Estepa,356600800400197980,332310.5,5258176.4,1.94,0.012314048,0.024781084,0.13959954679012299,0.0676170140504837,-0.2192716896533966,-0.1962546855211258
Estepa,356600800400197981,332358.3,5258145.9,1.98,0.0036809149,0.0073754205,0.13414989411830902,0.06637988984584808,-0.21974283456802368,-0.19784250855445862
Estepa,356600800400197982,332406.1,5258115.4,2.17,0.04286139,0.08761534,0.11936472356319427,0.06320477277040482,-0.20806758105754852,-0.17880779504776
Estepa,356600800400197983,332454.0,5258084.8,2.02,0.022915334,0.04636428,0.13466519117355347,0.07883183658123016,-0.17262576520442963,-0.13825801014900208
Estepa,356600800400197984,332502.0,5258054.1,2.39,0.008528664,0.017130528,0.14702562987804413,0.072553351521492,-0.21669182181358337,-0.18707798421382904
Estepa,356600800400197985,332550.0,5258023.4,2.47,0.008691841,0.017459719,0.11578342318534851,0.0572674460709095,-0.2211337685585022,-0.19878357648849487
Estepa,356600800400197986,332598.0,5257992.7,2.2,0.012042826,0.02423195,0.10643184185028076,0.05178910121321678,-0.24290169775485992,-0.22823135554790497
Estepa,356600800400197987,332646.0,5257962.0,2.02,0.0072946926,0.0146428915,0.11085651814937592,0.05789538100361824,-0.20595024526119232,-0.18914271891117096
Estepa,356600800400197988,332693.9,5257931.5,1.98,0.0038649417,0.007744869,0.11741464585065842,0.05564155802130699,-0.26757344603538513,-0.2562856078147888
Estepa,356600800400197989,332741.8,5257900.8,1.98,0.007212542,0.01447739,0.12054840475320816,0.057384390383958817,-0.25774484872817993,-0.24698956310749054
Estepa,356600800400197990,332789.7,5257870.2,1.83,0.0046064975,0.009234293,0.12106320261955261,0.057778794318437576,-0.25158989429473877,-0.23736903071403503
Estepa,356600800400197991,332837.6,5257839.7,1.94,0.0014958485,0.0029939383,0.11096929013729095,0.053930651396512985,-0.24584709107875824,-0.2325480729341507
Estepa,356600800400197992,332885.5,5257809.1,1.98,0.0014969584,0.0029961616,0.12897950410842896,0.06204243004322052,-0.25499266386032104,-0.2396450638771057
Estepa,356600800400197993,332933.4,5257778.5,1.94,0.0046734833,0.00936889,0.12489688396453857,0.05848377197980881,-0.27217864990234375,-0.2525232136249542
Estepa,356600800400197994,332981.3,5257748.0,1.9,0.0025542888,0.0051151174,0.12681078910827637,0.06276994943618774,-0.24232032895088196,-0.22774383425712585
Estepa,356600800400197995,333029.1,5257717.5,2.02,0.02675728,0.054244008,0.12329040467739105,0.06017381697893143,-0.24798583984375,-0.22983111441135406
Estepa,356600800400197996,333076.9,5257687.0,2.09,0.032096896,0.06524727,0.12239738553762436,0.059836745262145996,-0.244700089097023,-0.2282363325357437
Estepa,356600800400197997,333124.7,5257656.5,1.87,0.0066453847,0.013335155,0.12819460034370422,0.06127600371837616,-0.254031777381897,-0.2332889437675476
Estepa,356600800400197998,333172.5,5257626.0,2.13,0.0052252915,0.010477999,0.13002359867095947,0.06425128877162933,-0.233536958694458,-0.2095547318458557
Estepa,356600800400197999,333220.1,5257595.7,3.07,0.010042978,0.020187562,0.1554349958896637,0.08423438668251038,-0.20418909192085266,-0.16221517324447632
Estepa,356600800400198000,333267.7,5257565.4,3.14,0.020050561,0.040508863,0.1626361757516861,0.08744510263204575,-0.21564261615276337,-0.16563434898853302
Estepa,356600800400198001,333315.3,5257535.1,2.35,0.023142662,0.046829663,0.130885049700737,0.07805874943733215,-0.16757839918136597,-0.13111825287342072
Estepa,356600800400198002,333363.1,5257504.6,2.2,0.03846605,0.07845179,0.1367291957139969,0.07542329281568527,-0.207943856716156,-0.16886694729328156
Estepa,356600800400198003,333410.9,5257474.2,1.9,0.017053517,0.03440139,0.11781397461891174,0.06348318606615067,-0.1998315453529358,-0.1684204339981079
Estepa,356600800400198004,333458.7,5257443.7,1.83,0.014824359,0.029870816,0.126187264919281,0.06749556213617325,-0.2017834335565567,-0.16739366948604584
Estepa,356600800400198005,333506.5,5257413.1,1.9,0.007587543,0.015232987,0.1363823562860489,0.07091706246137619,-0.22153158485889435,-0.176828071475029
